Emotion,clean_text
neutral,tons paintings think better
sadness,yet dog grown old less capable one day gillie come explained great sorrow dog suffered stroke must put
fear,get tube train without paying ticket
fear,last may source considerable disquiet one might first see obviously immoral content could defended part system morality
anger,disliked intimacy showed towards resentful memories shared part felt excluded
sadness,family heard mother cousin lives england wrote us tell cancer lymph glands
joy,finding chosen collect norms chinese aphasia contribute china catching west neuropsychology
anger,spokesperson said glen furious new anarchy promo features footage sid vicious well
neutral,yes
sadness,see people burns feel sad actually even express feelings think must suffer lot
fear,gone hospital research got late reaching home feared reached home would quarrel late
sadness,one day heard friend boy loved gone
joy,connor voice gleeful
anger,funny wrong today secretary supposed talk tone voice know
neutral,perhaps need babies tina gave birth baby boy yesterday
joy,happy way playing accept believes england fly half
fear,leave baby carriage go shopping fear something happen baby
anger,used love someone else love friend janet appreciate much think beautiful fun think dumb uninteresting
anger,wow much thought getting assistant
fear,infiltration lives illusion accept political solutions tyranny
joy,spontaneous picnic sister friend children great
sadness,upon moving away home first time different city felt longer wing parents even though would always help felt sense loss alone world responsible actions
sadness,learnt failed exam influenced emotions also important tasks also made record imperfect
neutral,stop scratching everywhere sneaky little jerks
joy,good morning mary
anger,months ago teaching suddenly became angry children slapped
anger,sister lost favourite jumper party failed tell several days happened
sadness,little cat raised hanged playing garden
anger,stock investors miffed frantic currency markets
sadness,got back felt like black hole groaned disconsolate wilkinson two hour defeat
joy,say hi family
fear,biking felt bad problems heart respiration
fear,whenever alone dark room walk alone street sleep alone room night see something partly visible emotion strong year old child saw something horrible
sadness,india lost benson hedges cricket trophy
fear,got jungle great number snakes
joy,party new year eve met old friend seen time
anger,failed exams
joy,saw person seen long time
joy,look people around know people stupid look stupid
sadness,case unrequited love
anger,work happened fight person charge got angry spoke everything felt moment
sadness,death father even though close
joy,admitted university
joy,saw return morning pleased
anger,missed tram run
sadness,joe biddy became little cheerful discussing possible plans future became miserable
fear,involved car accident last november first fall snow lost control car spun round landed opposite side road hard shoulder stopped pole top bank sloping stream
anger,resentful unforgiving willie morgan taken court terminate lucrative six year contract nine months
anger,may however enough offended partner
fear,saw classmate knocked motorcycle
neutral,make
sadness,someone mentions things like ration books powdered egg air raids stomach turns feel quite depressed
anger,feeling occurred colleague entered university
joy,achieving goal swim meet worked toward goal yrs capable achieving know
sadness,paying attention face might believed deeply shocked anguished expression act put benefit
joy,difficult exam hoped take got high mark present someone something feels glad
anger,look six short weeks put pounds pure muscle
sadness,finding university enough foreign currency buy yournals reference list
joy,sister daughter saw baby first time pane glass looked
joy,deserves film give us lot inspiration
fear,officialpwg pic flood start minutes like wrestling fan photography warned
anger,understand sympathy show biz stars overpaid ambitious adored
neutral,jim
anger,girlfriend guys like made fuss girl
neutral,easy
joy,also said delight nonconformists read memoirs watson tour far successful matthew arnold
neutral,exactly
neutral,must locked
joy,ms yang speak good english
fear,walking along passage room near anatomy laboratory heard something felt thing behind looked back one started imagining maybe corpse
anger,faced feeling realized admitted institute first classifying spite high mark got entrance examination
neutral,irritable understand program
fear,sorry live need man leader royalty king already selah
neutral,course
fear,met elephant bush
neutral,try knowing margaret see immediately
anger,unscrew something car succeed two afternoons trying feeling anger built
sadness,sad shouted uncle told given school fees go work garden since gone escort sister bus depot
joy,tell next monday
fear,way home suddenly gule wamkulu came bush blocked road fear know
sadness,one best friends commited siucide holidays
neutral,next week
neutral,tall one sure drive works lily
anger,partner without discussing situation decided time us break went ahead arranged life next months told day happen tolerant friendly preceding week
sadness,doctor slipped fell way school ground slippery snow seems move left arm
joy,brother born
joy,celebration sexuality found works sidur neizvestny others stemmed partly mischievous delight taunting society taboos
anger,bit extremely annoyed phone promised would liar
joy,fantastic want come back
sadness,inevitably become despondent fearing never work
fear,know saw first time tuesday cafe noticed looking lot usual looking staring kept staring stop
anger,want money back delivery
anger,get angry someone imputes things never naturally negative servility connections impudence traits get mad
anger,recall thinking home soon mother would angry missing supper
anger,heard radio football match belgium ended catastrophe several people died could understand normal people could behave way
fear,playing hardest byzpo radio show session tune listen enjoy
joy,term paper evaluated
sadness,told friend wife cancer
sadness,dog died
sadness,long time since anyone cared tonight cared ana asked softly hand coming tilt downcast face
joy,party friends new year eve
joy,think thanks info
fear,got lost florence coach turn midnight place go strange reports police station
anger,person privileged account situations unjust disloyal colleagues friends
fear,weeks back daughter high fever scared might lead brain damage convulsions
sadness,selected rest foreign ballet money
fear,remembered horror said tell virgin heart closed like wounded animal
anger,expect working three years never given holiday feel well today terrible headache mood gentle polite stand problem going change think suits best
sadness,boyfriend changing behavior something wrong felt sad desagreable relationship ending
anger,fed jack weak dealing people always eats dirt
sadness,little troublesome
